season,week,team,pass_rate_ytd
2024,1,ARI,58.333333333333336
2024,2,ARI,46.90860215053763
2024,3,ARI,53.28498005004396
2024,4,ARI,51.17063158925711
2024,5,ARI,52.007933842834255
2024,6,ARI,53.036914565998245
2024,7,ARI,52.468298738510626
2024,8,ARI,53.16782591232583
2024,9,ARI,51.74372049906546
2024,10,ARI,51.033634163444624
2024,12,ARI,53.21239469404057
2024,13,ARI,53.71223899585298
2024,14,ARI,54.464533187869165
2024,15,ARI,54.20232730256786
2024,16,ARI,54.234672149063336
2024,17,ARI,55.23689703163877
2024,18,ARI,55.255641650692695
2024,1,ATL,55.10204081632652
2024,2,ATL,54.74400286430361
2024,3,ATL,55.28388069741453
2024,4,ATL,59.10996934659031
2024,5,ATL,62.7310134519558
2024,6,ATL,59.96815223560419
2024,7,ATL,59.36045701827298
2024,8,ATL,58.398733224322186
2024,9,ATL,57.46554064384194
2024,10,ATL,57.33542493562213
2024,11,ATL,57.742948288582106
2024,13,ATL,57.26004026020459
2024,14,ATL,56.972431529462966
2024,15,ATL,55.40923779866172
2024,16,ATL,54.572431469227126
2024,17,ATL,55.0158211690671
2024,18,ATL,54.758969962024956
2024,1,BAL,56.75675675675676
2024,2,BAL,56.24723083739477
2024,3,BAL,46.11884354676892
2024,4,BAL,43.84839191933595
2024,5,BAL,46.39450300915298
2024,6,BAL,46.06949324836822
2024,7,BAL,45.837343419236255
2024,8,BAL,48.23267549183172
2024,9,BAL,47.06636144347306
2024,10,BAL,48.04938047153955
2024,11,BAL,49.74186103473292
2024,12,BAL,48.986536456979756
2024,13,BAL,49.443693457580444
2024,15,BAL,49.360276929822234
2024,16,BAL,48.78145620794708
2024,17,BAL,47.57687749003236
2024,18,BAL,47.541160988836154
2024,1,BUF,43.859649122807014
2024,2,BUF,44.54887218045113
2024,3,BUF,47.21337241408606
2024,4,BUF,50.32231001231894
2024,5,BUF,50.766322586126336
2024,6,BUF,50.200005663877214
2024,7,BUF,52.02328527803231
2024,8,BUF,52.14916249706616
2024,9,BUF,53.88776779400231
2024,10,BUF,54.15116492764555
2024,11,BUF,54.49842397901901
2024,13,BUF,52.78707732667937
2024,14,BUF,53.99718818759008
2024,15,BUF,53.764979649670536
2024,16,BUF,53.6289235350948
2024,17,BUF,53.19378248081804
2024,18,BUF,52.96066405434458
2024,1,CAR,63.63636363636363
2024,2,CAR,62.25296442687747
2024,3,CAR,60.82564778216952
2024,4,CAR,60.47430830039526
2024,5,CAR,61.82772250238518
2024,6,CAR,61.738155848761835
2024,7,CAR,59.721140387374085
2024,8,CAR,60.58933117228566
2024,9,CAR,60.206389613460274
2024,10,CAR,58.668509272803895
2024,12,CAR,59.03608701225624
2024,13,CAR,59.87621701613685
2024,14,CAR,59.22963018684125
2024,15,CAR,59.856085173495444
2024,16,CAR,58.88651282859575
2024,17,CAR,59.68980142898243
2024,18,CAR,59.395548403748165
2024,1,CHI,61.53846153846154
2024,2,CHI,64.1025641025641
2024,3,CHI,64.95726495726495
2024,4,CHI,61.217948717948715
2024,5,CHI,58.228090317642554
2024,6,CHI,57.71881089688603
2024,8,CHI,56.030643532225504
2024,9,CHI,57.541305844320505
2024,10,CHI,58.492460185535364
2024,11,CHI,57.715677935097766
2024,12,CHI,58.857004511022545
2024,13,CHI,60.16694340064072
2024,14,CHI,60.183129176788825
2024,15,CHI,59.85258820384359
2024,16,CHI,60.60817836878509
2024,17,CHI,60.59171894487395
2024,18,CHI,60.17876068761246
2024,1,CIN,66.66666666666666
2024,2,CIN,65.30054644808743
2024,3,CIN,65.93806921675774
2024,4,CIN,61.9535519125683
2024,5,CIN,62.29011425732737
2024,6,CIN,62.57509521443948
2024,7,CIN,61.63579589809098
2024,8,CIN,62.26465474416294
2024,9,CIN,61.78758360511746
2024,10,CIN,63.50356208671097
2024,11,CIN,63.90766716507525
