season,week,team,pass_rate_ytd
2013,1,ARI,62.857142857142854
2013,2,ARI,63.73626373626374
2013,3,ARI,66.12720612720612
2013,4,ARI,66.70066775329933
2013,5,ARI,64.26962511173038
2013,6,ARI,64.75593759310864
2013,7,ARI,66.16907326894223
2013,8,ARI,63.04499793385385
2013,10,ARI,62.15110927453676
2013,11,ARI,62.754180165264906
2013,12,ARI,62.29893459326259
2013,13,ARI,62.82874974531657
2013,14,ARI,61.96211514952299
2013,15,ARI,60.947763640974976
2013,16,ARI,59.57114656242241
2013,17,ARI,60.22294990227101
2013,1,ATL,74.54545454545455
2013,2,ATL,74.15797317436662
2013,3,ATL,68.06609976330323
2013,4,ATL,70.76788468163235
2013,5,ATL,70.23749615110299
2013,7,ATL,69.10035248364274
2013,8,ATL,70.95048527901977
2013,9,ATL,69.5284831297806
2013,10,ATL,69.76955313842133
2013,11,ATL,69.80752319771352
2013,12,ATL,69.52199078580018
2013,13,ATL,69.04977669421241
2013,14,ATL,68.43186688331471
2013,15,ATL,68.34481315979926
2013,16,ATL,68.52279179938752
2013,17,ATL,68.74379378251403
2013,1,BAL,75.86206896551724
2013,2,BAL,63.66632860040568
2013,3,BAL,57.648897429510214
2013,4,BAL,64.66524450070409
2013,5,BAL,61.047264093713956
2013,6,BAL,61.528457783013
2013,7,BAL,60.935399411200834
2013,9,BAL,61.95818036715367
2013,10,BAL,61.49021353449653
2013,11,BAL,59.87452551438022
2013,12,BAL,58.97684137670929
2013,13,BAL,59.28809329588182
2013,14,BAL,59.79076187390065
2013,15,BAL,60.162850311479176
2013,16,BAL,60.35290686605636
2013,17,BAL,61.431596455584554
2013,1,BUF,44.26229508196721
2013,2,BUF,50.21333932180552
2013,3,BUF,55.69778177009257
2013,4,BUF,49.88144443567754
2013,5,BUF,51.638488881875354
2013,6,BUF,52.100701519209856
2013,7,BUF,52.569832071410644
2013,8,BUF,53.9030148271902
2013,9,BUF,53.54149658520802
2013,10,BUF,54.749846926687226
2013,11,BUF,53.89190629698839
2013,13,BUF,53.63371833837692
2013,14,BUF,54.552183888640485
2013,15,BUF,53.51274218230902
2013,16,BUF,52.319655260566044
2013,17,BUF,52.08276504207478
2013,1,CAR,48.0
2013,2,CAR,52.94736842105263
2013,3,CAR,48.26120857699806
2013,5,CAR,53.620148856990966
2013,6,CAR,51.46754765702134
2013,7,CAR,48.86446581481338
2013,8,CAR,50.21716117460195
2013,9,CAR,50.54715888491956
2013,10,CAR,50.91371388061226
2013,11,CAR,51.56308323329178
2013,12,CAR,52.22312379497114
2013,13,CAR,51.70717564803571
2013,14,CAR,52.56841027560616
2013,15,CAR,51.90876192258668
2013,16,CAR,52.4164317626682
2013,17,CAR,52.210580216097924
2013,1,CHI,55.172413793103445
2013,2,CHI,57.27370689655172
2013,3,CHI,56.89592155676547
2013,4,CHI,61.78958822639763
2013,5,CHI,62.5225796720272
2013,6,CHI,61.33291895745856
2013,7,CHI,60.97443473664516
2013,9,CHI,60.352630394564514
2013,10,CHI,61.51715294331661
2013,11,CHI,61.05509282139874
2013,12,CHI,61.40143573444111
2013,13,CHI,61.41285455144281
2013,14,CHI,60.9251321834946
2013,15,CHI,60.37518034550305
2013,16,CHI,60.973824236448
2013,17,CHI,60.351735731874086
2013,1,CIN,62.96296296296296
2013,2,CIN,59.962494139709335
2013,3,CIN,59.728082512892634
2013,4,CIN,61.98356188466948
2013,5,CIN,58.704496566559115
2013,6,CIN,57.66025120383991
2013,7,CIN,58.857034724585155
2013,8,CIN,58.419548241154864
2013,9,CIN,59.010294407278074
2013,10,CIN,59.57985320184438
2013,11,CIN,58.70895745622216
